sample_id	host	specimen_type	collection_date	state	country	latitude	longitude
28-06-2025_barcode09	CACO	Dry (Oral+Cloacal)	2026-05-13	New Hampshire	USA
28-06-2025_barcode16	CACO	Dry (Oral+Cloacal)	2026-05-13	New Hampshire	USA
28-06-2025_barcode10	CAGO	Dry (Oral+Cloacal)	2026-05-13	Maine	USA
28-06-2025_barcode17	CAGO	Dry (Oral+Cloacal)	2026-05-13	Maine	USA
28-06-2025_barcode11	CACO	Dry (Oral+Cloacal)	2026-05-13	New Hampshire	USA
28-06-2025_barcode18	CACO	Dry (Oral+Cloacal)	2026-05-13	Maine	USA
28-06-2025_barcode12	CACO	Dry (Oral+Cloacal)	2026-05-13	Maine	USA
28-06-2025_barcode19	CACO	Dry (Oral+Cloacal)	2026-05-13	Maine	USA
28-06-2025_barcode13	MALL	Dry (Oral+Cloacal)	2026-05-13	New Hampshire	USA
28-06-2025_barcode20	MALL	Dry (Oral+Cloacal)	2026-05-13	Vermont	USA
28-06-2025_barcode14	MALL	Dry (Oral+Cloacal)	2026-05-13	Vermont	USA
28-06-2025_barcode21	MALL	Dry (Oral+Cloacal)	2026-05-13	Vermont	USA
28-06-2025_barcode15	MALL	Dry (Oral+Cloacal)	2026-05-13	Vermont	USA
28-06-2025_barcode22	MALL	Dry (Oral+Cloacal)	2026-05-13	New Hampshire	USA
12-11-2025_barcode03	CACO	Dry (Oral+Cloacal)	2025-10-22	Massachusetts	USA
12-11-2025_barcode04	CACO	Dry (Oral+Cloacal)	2025-10-22	Massachusetts	USA
12-11-2025_barcode05	CACO	Dry (Oral+Cloacal)	2025-10-22	Massachusetts	USA
12-11-2025_barcode06	CACO	Dry (Oral+Cloacal)	2025-10-22	Massachusetts	USA
12-11-2025_barcode07	CACO	Dry (Oral+Cloacal)	2025-10-23	Massachusetts	USA
12-11-2025_barcode08	CACO	Dry (Oral+Cloacal)	2025-10-24	Massachusetts	USA
12-11-2025_barcode11	CACO	Dry (Oral+Cloacal)	2025-10-25	New Hampshire	USA
12-11-2025_barcode12	CACO	Dry (Oral+Cloacal)	2025-10-26	Connecticut	USA
12-11-2025_barcode13	CACO	Dry (Oral+Cloacal)	2025-10-27	Connecticut	USA
12-11-2025_barcode14	CACO	Dry (Oral+Cloacal)	2025-10-28	Connecticut	USA
12-11-2025_barcode15	CACO	Dry (Oral+Cloacal)	2025-10-28	Connecticut	USA
12-11-2025_barcode16	CACO	Dry (Oral+Cloacal)	2025-10-31	Rhode Island	USA
23-12-2025_barcode15	HOWR	Dry (Oral+Cloacal)	2025-12-31	Rhode Island	USA
23-12-2025_barcode16	HOWR	Dry (Oral+Cloacal)	2025-12-31	Rhode Island	USA
21-07-2026_barcode13	RTHA	Dry (Oral+Cloacal)	2026-04-08	Rhode Island	USA
21-07-2026_barcode14	RTHA	Dry (Oral+Cloacal)	2026-04-08	Rhode Island	USA
